ID,PitchNumber,GroupName,ClubName,ClubType,Astro,GrassTurf,Allocated,Playable,ShapeSTArea
1,135,Tymon Park,Faughs Gaa,GAA,No,Yes,Yes,Yes,8319.215958
2,2,Doddsborough Open Space,Lucan United,Soccer,No,Yes,Yes,Yes,5997.401051
3,3,Hillcrest Open Space Lucan,Lucan United,Soccer,No,Yes,Yes,Yes,5997.401316
4,15,"Beech Park, Lucan",Beech Park F.C,Soccer,No,Yes,Yes,Yes,5997.40156
5,16,Willsbrook Park Lucan,Lucan Sarsfield,GAA,No,Yes,Yes,Yes,6738.577204
6,17,SC9,"Hermitage Park, Lucan",Soccer,No,Yes,Yes,Yes,5997.405645
7,18,"Hermitage Park, Lucan",Esker Celtic,Soccer,No,Yes,Yes,Yes,5997.402512
8,31,Collinstown Park,Oatfield F.C,Soccer,No,Yes,Yes,Yes,5997.435194
9,32,Collinstown Park,Collinstown F.C,Soccer,No,Yes,Yes,Yes,5997.371852
10,33,Collinstown Park,Collinstown F.C,Soccer,No,Yes,Yes,Yes,5997.451196
11,24,Glenaulin Park Ballymount,Saint Patricks,GAA,No,Yes,Yes,Yes,10270.74934
12,25,Glenaulin Park Ballymount,Saint Patricks,GAA,No,Yes,Yes,Yes,8319.302527
13,26,Glenaulin Park Ballymount,Saint Patricks,GAA,No,Yes,Yes,Yes,10270.74575
14,27,Glenaulin Park Ballymount,Saint Patricks,Cricket,No,Yes,Yes,Yes,10270.7565
15,28,Glenaulin Park Ballymount,Ballyfermot DLS,GAA,No,Yes,Yes,Yes,10270.7434
16,30,Glenaulin Park Ballymount,Glenfield F.C/Palmerstown United,Soccer,No,Yes,Yes,Yes,5997.425365
17,29,Glenaulin Park Ballymount,Palmerstown United,Soccer,No,Yes,Yes,Yes,5997.425444
18,4,Griffeen Valley Park,Arthur Griffith Park,Soccer,No,Yes,Yes,Yes,4384.257927
19,5,Griffeen Valley Park,Esker Celtic F.C,Soccer,No,Yes,Yes,Yes,4384.261823
20,6,Griffeen Valley Park,Ballyowen Celtic,Soccer,No,Yes,Yes,Yes,5412.664262
21,8,Griffeen Valley Park,Esker Celtic,Soccer,No,Yes,Yes,Yes,5997.406664
22,10,Griffeen Valley Park,Beech Park F.C,Soccer,No,Yes,Yes,Yes,5997.408235
23,9,Griffeen Valley Park,Beech Park,Soccer,No,Yes,Yes,Yes,5997.402776
24,12,Griffeen Valley Park,Lucan Sarsfield,GAA,No,Yes,Yes,Yes,7300.177703
25,11,Griffeen Valley Park,Lucan Sarsfield,GAA,No,Yes,Yes,Yes,8833.214071
26,13,Griffeen Valley Park,Lucan Sarsfield,GAA,No,Yes,Yes,Yes,11185.93945
27,43,Castle Park,Castle Park F.C,Soccer,No,Yes,Yes,Yes,5997.437039
28,47,Clondalkin Community Centre,Clondalkin Celtic/ Boot Road Celtic,Soccer,No,Yes,Yes,Yes,4857.9273
29,48,Clondalkin Community Centre,,,No,Yes,No,Yes,3109.076665
30,49,Clondalkin Community Centre,Roundtowers GAA 1,GAA,No,Yes,Yes,Yes,10066.24446
31,50,Clondalkin Community Centre,Roundtowers GAA 1,GAA,No,Yes,Yes,Yes,10066.23988
32,51,Corkagh Park,Ashwood Seniors F.C/Ashwood F.C,Soccer,No,Yes,Yes,No,3934.901073
33,54,Corkagh Park,Newlands Celtic,Soccer,No,Yes,Yes,No,4131.6147
34,56,Corkagh Park,Baseball Diamond,Baseball,No,Yes,Yes,Yes,3543.336342
35,57,Corkagh Park,Baseball Diamond,Baseball,No,Yes,Yes,Yes,12879.13032
36,61,Corkagh Park,Boot Road Celtic,Soccer,No,Yes,Yes,Yes,5997.405375
37,157,Beechfield Park,Cherryfield Utd,Soccer,No,Yes,Yes,Yes,5997.412465
38,156,Beechfield Park,Terenure FC,Soccer,No,Yes,Yes,Yes,4884.924178
39,154,Greenhills Park,Greenhills Boys FC,Soccer,No,Yes,Yes,Yes,5997.404352
40,125,Tymon Park,Kilnamanagh FC,Soccer,No,Yes,Yes,Yes,5997.405439
41,126,Tymon Park,Cuckoos Nest FC,Soccer,No,Yes,Yes,Yes,5997.406792
42,127,Tymon Park,Tallaght City FC,Soccer,No,Yes,Yes,Yes,5997.412615
43,122,Kilnamanagh Open Space,Kilnamanagh FC,Soccer,No,Yes,Yes,Yes,5997.513246
44,92,Kingswood Open Space,Kingswood F.C,Soccer,No,Yes,Yes,Yes,5978.854852
45,128,Tymon Park,Not allocated,soccer,,Yes,No,Yes,5997.407664
46,129,Tymon Park,AFC Justice,Soccer,No,Yes,Yes,Yes,5997.410667
47,130,Tymon Park,Knocklyon Utd FC,Soccer,No,Yes,Yes,Yes,5997.412031
48,137,Tymon Park,St. Marys FC,Soccer,No,Yes,Yes,Yes,5997.410146
49,138,Tymon Park,Templeogue Utd,Soccer,No,Yes,Yes,Yes,5997.411499
